time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
0.000,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.001,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.002,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.003,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.004,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.005,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.006,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.007,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.008,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.009,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.010,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.011,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.012,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.013,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.014,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.015,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.016,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
0.017,1.047,1.049,1.030,1.004,1.005,1.008,0.997,0.996,1.028,1.017,1.013,1.000,1.014
