time, G_01, G_02,G_03,G_04,G_05,G_06,G_07,G_08,G_09,G_10
0.000,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.001,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.002,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.003,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.004,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.005,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.006,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.007,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.008,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.009,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.010,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.011,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.012,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.013,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.014,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.015,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.016,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.017,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.018,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.019,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.020,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.021,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.022,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.023,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.024,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.025,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.026,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.027,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.028,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.029,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.030,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.031,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.032,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.033,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.034,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.035,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.036,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.037,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.038,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.039,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.040,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.041,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.042,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.043,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.044,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.045,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.046,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.047,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.048,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.049,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.050,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.051,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.052,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.053,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.054,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.055,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.056,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.057,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.058,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.059,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.060,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.061,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.062,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.063,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.064,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.065,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.066,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.067,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.068,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.069,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
