time, G1_p, G2_p, G4_p, G3_p, v1, v2, v3, v4, v5, v6, v7, v8, v9, v10, v11
0.000000, 700.000000, 700.000000, 719.097506, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.001000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.002000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.003000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.004000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.005000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.006000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.007000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.008000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.009000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.010000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.011000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.012000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.013000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.014000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.015000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.016000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.017000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.018000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.019000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.020000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.021000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.022000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.023000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.024000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.025000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.026000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.027000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.028000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.029000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.030000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.031000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.032000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.033000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.034000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.035000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.036000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
0.037000, 700.000000, 700.000000, 719.097507, 700.000000, 1.030000, 1.010000, 1.030000, 1.010000, 1.006450, 0.978117, 0.960991, 0.948557, 0.971341, 0.983446, 1.008249
